 排氣量級距,總計免稅車輛數,總計應稅車輛數,總計稅額,自用小客車免稅輛數,自用小客車應稅輛數,稅額,營業用小客車免稅輛Displacement range ,tex,bus tex ,number  ,tex2,營業用大客車免稅輛數  ,營業用大客車應稅輛數   ,稅額,自用小貨車免稅輛數  ,自用小貨車應稅輛數   ,稅額,營業用小貨車免稅輛數   ,營業用小貨車應稅輛數    ,稅額,自用大貨車免稅輛數   ,自用大貨車應稅輛數    ,稅額,營業用大貨車免稅輛數    ,營業用大貨車應稅輛數,稅額,自用機車免稅輛數,自用機車應稅輛數 ,稅額,自用曳引車免稅輛數    ,自用曳引車應稅輛數     ,稅額,營業用曳引車免稅輛數     ,營業用曳引車應稅輛數   ,稅額,其他免稅車輛數,其他應稅車輛數,稅額
  0  ~   150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 151 ~   250,57,9908,7926400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,9908,7926400,0,0,0,0,0,0,0,0,0
 251 ~   500,12,2512,4069440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2512,4069440,0,0,0,0,0,0,0,0,0
 501 ~   600,2,523,1129680,0,33,71280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,490,1058400,0,0,0,0,0,0,0,0,0
 601 ~  1200,362,13282,38616840,178,3903,16860960,0,0,0,0,0,0,0,0,0,164,7445,13401000,0,0,0,0,0,0,0,0,0,20,1934,8354880,0,0,0,0,0,0,0,0,0
1201 ~  1800,10289,106192,731155900,9991,100296,714107520,187,104,318240,0,0,0,0,0,0,110,5523,14912100,0,22,59400,0,0,0,0,0,0,1,247,1758640,0,0,0,0,0,0,0,0,0
1801 ~  2400,9172,62404,663444680,8941,57358,644130340,133,277,1794960,0,0,0,0,0,0,98,4721,16995600,0,2,7200,0,0,0,0,0,0,0,46,516580,0,0,0,0,0,0,0,0,0
2401 ~  3000,1740,17483,183184090,1470,9746,148236660,45,23,227700,1,10,45000,6,14,63000,154,7413,33358500,0,53,238500,64,203,913500,0,20,90000,0,1,11230,0,0,0,0,0,0,0,0,0
3001 ~  3600,394,3165,66664440,377,2169,61209180,1,7,114660,0,0,0,0,0,0,15,887,4789800,0,2,10800,1,98,529200,0,2,10800,0,0,0,0,0,0,0,0,0,0,0,0
3601 ~  4200,130,1845,19405100,31,355,10018100,0,0,0,3,26,163800,6,31,195300,4,819,5159700,0,23,144900,86,558,3515400,0,33,207900,0,0,0,0,0,0,0,0,0,0,0,0
4201 ~  4800,30,274,8186130,22,159,7341030,0,1,24300,0,1,7200,0,1,7200,0,6,43200,0,0,0,8,102,734400,0,4,28800,0,0,0,0,0,0,0,0,0,0,0,0
4801 ~  5400,117,327,4514130,4,49,2262330,0,0,0,2,6,48600,5,10,81000,0,5,40500,0,0,0,106,240,1944000,0,17,137700,0,0,0,0,0,0,0,0,0,0,0,0
5401 ~  6000,2,139,3799980,1,42,2926980,0,0,0,0,1,9000,0,0,0,0,22,198000,0,0,0,1,68,612000,0,6,54000,0,0,0,0,0,0,0,0,0,0,0,0
6001 ~  6600,13,311,3856170,0,13,905970,0,0,0,0,1,9900,0,0,0,0,5,49500,0,0,0,13,258,2554200,0,34,336600,0,0,0,0,0,0,0,0,0,0,0,0
6601 ~  7200,30,282,3151800,0,1,117000,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,25,229,2473200,0,52,561600,0,0,0,0,0,0,0,0,0,0,0,0
7201 ~  7800,223,1137,13302900,0,0,0,0,0,0,2,21,245700,88,163,1907100,0,0,0,0,0,0,133,752,8798400,0,201,2351700,0,0,0,0,0,0,0,0,0,0,0,0
7801 ~  8400,2,182,2296980,0,0,0,0,0,0,0,1,12600,0,0,0,0,0,0,0,0,0,2,128,1612800,0,52,655200,0,0,0,0,0,0,0,1,16380,0,0,0
8401 ~  9000,0,16,216000,0,0,0,0,0,0,0,0,0,0,3,40500,0,0,0,0,0,0,0,7,94500,0,6,81000,0,0,0,0,0,0,0,0,0,0,0,0
9001 ~  9600,1,28,416160,0,0,0,0,0,0,0,0,0,0,8,115200,0,0,0,0,0,0,1,4,57600,0,13,187200,0,0,0,0,0,0,0,3,56160,0,0,0
9601 ~ 10200,0,2,30600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15300,0,1,15300,0,0,0,0,0,0,0,0,0,0,0,0
10201以上,27,2362,45515520,0,0,0,0,0,0,0,3,48600,2,65,1053000,0,0,0,0,0,0,24,621,10060200,0,181,2932200,0,0,0,1,225,4738500,0,1267,26683020,0,0,0
總計,22603,222374,1800882940,21015,174124,1608187350,366,412,2479860,8,70,590400,112,295,3462300,545,26846,88947900,0,102,460800,464,3269,33914700,0,622,7650000,92,15138,23695570,1,225,4738500,0,1271,26755560,0,0,0
