2330 台積電           年度 成交資訊,,,,,,
Date,Done,Final,high,low,Time,Close
83,"260,767,893","43,077,714,614",177,96,9月5日,159.04
84,"1,196,951,731","147,080,305,021",196,77,11月18日,128.43
85,"2,551,689,355","162,573,264,398",106,49.1,7月17日,63.83
86,"13,689,883,498","1,644,349,499,582",173,55.5,1月7日,109.45
87,"8,613,597,282","938,095,332,457",173,56.5,9月4日,100.74
88,"9,702,381,934","1,151,130,000,000",171,68,1月6日,120.01
89,"7,729,777,313","1,106,510,465,741",222,74.5,12月27日,146.3
90,"8,960,692,215","684,460,549,285",105.5,43.6,10月3日,77.74
91,"12,069,377,560","770,055,945,408",97.5,34.9,10月8日,67.42
92,"11,186,549,607","620,375,005,619",72.5,40.1,2月12日,56.42
93,"12,664,016,549","660,686,174,026",68.5,40.7,7月27日,52.36
94,"12,782,716,119","707,671,837,842",64.3,46.2,1月14日,54.08
95,"10,344,294,200","635,369,872,045",70,52.3,7月24日,61.34
96,"15,497,936,104","1,010,167,573,597",73.1,57.4,11月22日,65.52
97,"16,302,842,446","921,758,410,511",69.8,36.4,11月21日,56.44
98,"16,383,357,000","902,124,091,393",65.2,38.7,1月21日,55.48
99,"12,070,831,040","750,624,427,256",75,57,2月8日,62.01
100,"12,740,507,347","916,448,075,621",78.3,62.2,8月9日,72.09
101,"10,106,805,880","844,105,649,462",99.4,73.8,7月23日,84.08
102,"8,571,637,523","887,933,410,357",116.5,92.9,8月22日,104.09
103,"9,054,507,965","1,102,966,313,562",142,100.5,2月5日,122.53
104,"9,780,728,568","1,365,734,269,299",155,112.5,8月24日,139.84
105,"8,007,380,134","1,308,684,662,240",193,130.5,1月14日,166.36
106,"6,710,521,939","1,396,800,979,364",245,179,1月16日,210.09
107,"8,623,452,823","2,048,006,036,637",268,210,6月28日,237.45
108,"7,978,976,592","2,084,935,959,207",345,206.5,1月4日,261.73
109,"12,152,592,782","4,500,568,670,600",530,235.5,3月19日,378.65
110,"9,119,561,864","5,470,846,144,912",679,518,5月12日,597.73
111,"9,440,019,492","4,891,411,884,796",688,370,10月26日,516.24
